Warehouse,Class,Asset/SSE #,Serial#,Manuf,Model,Model#,Cond,Screen Size,Notes/Comments,No SKU,Price
Sage - CMH,Monitors,1186584,CN0NDMRP7426129M05NM,Dell,P2212Hb,P2212Hb,C,22,,DELL-P2212HB-MON-C,70
Sage - CMH,Monitors,1186585,CN0NDMRP742611A42KKM,Dell,P2212Hb,P2212Hb,C,22,Missing Base,DELL-P2212HB-MON-C,70
Sage - CMH,Monitors,1188679,CN0NDMRP7426129M16GM,Dell,P2212Hb,P2212Hb,C,22,,DELL-P2212HB-MON-C,70
Sage - CMH,Monitors,1176305,CN0NDMRP742611A40YRM,Dell,P2212Hb,P2212Hb,C,22,,DELL-P2212HB-MON-C,70
Sage - CMH,Monitors,1176311,CN0NDMRP742611AR065S,Dell,P2212Hb,P2212Hb,C,22,,DELL-P2212HB-MON-C,70
Sage - CMH,Monitors,1176349,CN0NDMRP7426129M05UM,Dell,P2212Hb,P2212Hb,C,22,,DELL-P2212HB-MON-C,70
Sage - CMH,Monitors,1176352,CN0W4XCG7444516O282S,Dell,P2212Hb,P2212Hb,C,22,,DELL-P2212HB-MON-C,70
Sage - CMH,Monitors,1112607,CN0174R77287228EAYMU,Dell,P2212Hf,P2212HF,C,22,,DELL-P2212HF-MON-C,70
Sage - CMH,Monitors,1112609,CN0174R772872289CAWU,Dell,P2212Hf,P2212HF,C,22,,DELL-P2212HF-MON-C,70
Sage - CMH,Monitors,1112612,CN0174R77287228ECENU,Dell,P2212Hf,P2212HF,C,22,,DELL-P2212HF-MON-C,70
Sage - CMH,Monitors,1112616,CN0174R77287228ED3MU,Dell,P2212Hf,P2212HF,C,22,,DELL-P2212HF-MON-C,70
Sage - CMH,Monitors,1112739,CN0174R772872289CKEU,Dell,P2212Hf,P2212HF,C,22,,DELL-P2212HF-MON-C,70
Sage - CMH,Monitors,1112812,CN0174R77287228LARMU,Dell,P2212Hf,P2212HF,C,22,,DELL-P2212HF-MON-C,70
Sage - CMH,Monitors,1180214,CN0174R77287228MC0LU,Dell,P2212Hf,P2212HF,C,22,,DELL-P2212HF-MON-C,70
Sage - CMH,Monitors,1108591,CN0FP04F72872365DCGS,Dell,P2213f,P2213f,C,22,,DELL-P2213F-MON-C,70
Sage - CMH,Monitors,1108595,CN0FJ44J7444533EA9BS,Dell,P2213t,p2213t,C,22,,DELL-P2213T-MON-C,70
Sage - CMH,Monitors,1110526,MX0YK37H744462C4191S,Dell,P2213t,p2213t,C,22,,DELL-P2213T-MON-C,70
Sage - CMH,Monitors,1162467,MX0YK37H7444635TA0US,Dell,P2213t,p2213t,C,22,,DELL-P2213T-MON-C,70
Sage - CMH,Monitors,1161356,MX0HMN4M742623C91CTL,Dell,P2214Hb,p2214Hb,C,22,,DELL-P2214HB-MON-C,70
Sage - CMH,Monitors,1159826,4V15GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1159849,5Q15GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1159931,BZ15GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1159934,6C25GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160007,FT4DFJ2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160008,3T4DFJ2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160053,88LWCD2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160055,BJLWCD2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160057,9RGFFJ2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160061,H9SKBK2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160064,5Y28TL2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160066,TW0KRRN9QDT0077P0WWLA00,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160068,146T9F2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160072,FLLWCD2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160076,JSGFFJ2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160081,BS4DFJ2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160082,4S15GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160084,10G4GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160089,6025GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160092,7S4DFJ2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160099,DKMHNG2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160220,G12M812,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160228,7B25GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160233,HK15GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160237,5951MB2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160247,3Z55GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160248,HS4DFJ2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160250,6T15GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160252,FD55GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160255,JN15GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160256,HX55GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160265,DX15GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160267,1QWQ9F2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160269,62G4GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160270,7Y15GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160271,1X5T9F2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160272,1S15GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160274,HS15GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160275,7R4DFJ2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160282,6S4DFJ2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160284,8T55GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160288,1V55GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160289,2X55GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160291,2X15GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160292,J7SKBK2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160294,HM15GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160295,FN15GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160296,18BT9F2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160297,8ZF4GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160298,CS4DFJ2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160299,8S4DFJ2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160300,7S15GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160302,CY55GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160303,7W55GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160304,8B25GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160305,DT15GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160307,JR4DFJ2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160308,CN15GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160309,4T4DFJ2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160310,3V4DFJ2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160312,5W55GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160314,9D55GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1183349,G9CGFJ2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1159795,6Z55GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1159798,HT4DFJ2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160065,JW9T9F2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160070,3X9T9F2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160074,HGT6HN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160086,3C25GN2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1160088,12VZLB2,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1176315,CN0668VCQDC0081O0M8LA05,Dell,P2217H,P2217H,C,22,,DELL-P2217H-MON-C,70
Sage - CMH,Monitors,1108775,tw027hw37426459410gl,Dell,P2414hb,p2414hb,C,22,,DELL-P2414HB-MON-C,70
Sage - CMH,Monitors,1083295,CNK4310P0N,HP,EliteDipslay E221,HSTND-3701,C,22,,HP-DIPSLAYE221-MON-C,70
Sage - CMH,Monitors,1083581,CNC4040P4V,HP,EliteDipslay E221,HSTND-3701,C,22,,HP-DIPSLAYE221-MON-C,70
Sage - CMH,Monitors,1176971,CNC3370861,HP,EliteDipslay E221,C9V76A,C,22,,HP-DIPSLAYE221-MON-C,70
Sage - CMH,Monitors,1177123,CNK3110D8R,HP,EliteDipslay E221,C9V76A,C,22,,HP-DIPSLAYE221-MON-C,70
Sage - CMH,Monitors,1188927,CNC31003C0,HP,EliteDisplay E221,EliteDisplay E221,C,22,,HP-DISPLAYE221-MON-C,70
Sage - CMH,Monitors,1083301,CNC53604PC,HP,EliteDisplay E221i,F9Z09A,C,22,,HP-DISPLAYE221I-MON-C,70
Sage - CMH,Monitors,1111584,3CQ9425HPG,HP,L2205wg,MN274A,C,22,,HP-L2205WG-MON-C,70
Sage - CMH,Monitors,1108039,CNK812064H,HP,L2245w,GX008A,C,22,,HP-L2245W-MON-C,70
Sage - CMH,Monitors,1108042,CNK81005J2,HP,L2245w,GX008A,C,22,,HP-L2245W-MON-C,70
Sage - CMH,Monitors,1111581,CNK8461DM0,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111585,CNK8461DHY,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111586,CNK8470WMJ,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111588,CNK8461F1Z,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111590,CNK8461DC0,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111592,CNK8470W1N,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111594,CNK8470WCK,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111596,CNK8450CYW,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111598,CNK8441K9Y,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111601,CNK8461DL3,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111603,CNK8450CQ2,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111606,CNK8470MHP,HP,L2245wg,L2245wg,C,22,loose audio button,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111610,CNK8441JSY,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111619,CNK8461CVC,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111621,CNK8461CQB,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111622,CNK9290L3D,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111623,CNK8470XX9,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111668,CNK8461JSV,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111671,CNK8450FQC,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111672,CNK8441KDP,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111673,CNK8461BSX,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111675,CNK8461BK9,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111676,CNK8461BQJ,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111677,CNK8461JT9,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1111692,CNK8441HKX,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1112742,CNK8470WMD,HP,L2245wg,FLA72A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1112748,CNK8470MBP,HP,L2245wg,FLA72A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1112750,CNK8470WG8,HP,L2245wg,FLA72A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1112761,CNK8461DVP,HP,L2245wg,FLA72A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1158540,CNK8440KDK,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1176243,CNK8461FL7,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1176376,CNK84004G4,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1176570,CNK9290KLJ,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1176575,CNK8461F1W,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1176729,CNK8470WSN,HP,L2245wg,FLA72A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1176736,CNK9290KKZ,HP,L2245wg,FLA72A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1176749,CNK8470MF2,HP,L2245wg,FLA72A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1176764,CNK8470Y1B,HP,L2245wg,FLA72A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1176779,CNK8461F0Z,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1176795,CNK8441LN5,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1176802,CNK8470WJ4,HP,L2245wg,FLA72A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1176810,CNK8470XGB,HP,L2245wg,FLA72A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1176819,CNK8470MRC,HP,L2245wg,FLA72A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1176881,CNK8441LLP,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1176886,CNK8470XBX,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1176936,CNK8470M8Q,HP,L2245wg,FLA72A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1176951,CNK8441LMZ,HP,L2245wg,FLA72A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1176982,CNK8470WTZ,HP,L2245wg,FLA72A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1176988,CNK8470WBD,HP,L2245wg,FLA72A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177011,CNK8470VQG,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177028,CNK8470M8F,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177031,CNK8461D97,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177034,CNK8470Y2W,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177037,CNK8461F83,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177039,CNK8470X95,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177041,CNK8470X94,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177071,CNK8470MBJ,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177075,CNK8470W8G,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177076,CNK8470V8R,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177078,CNK8470V8H,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177079,CNK8470WKX,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177080,CNK8470MDZ,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177081,CNK8470X60,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177083,CNK8470Y25,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177085,CNK8470WJP,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177086,CNK8470M9B,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177087,CNK8470VN2,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177089,CNK8470Y53,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177091,CNK8470X20,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177093,CNK8470MNY,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177094,CNK90108L2,HP,L2245wg,FLA72A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177096,CNK8470WR7,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177097,CNK8470XW6,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177098,CNK8470M4Z,HP,L2245wg,FLA72A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177100,CNK8470XZX,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177101,CNK8470MKK,HP,L2245wg,FLA72A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177102,CNK8470W9S,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177103,CNK8470W0X,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1177104,CNK8461F25,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180064,CNK8470MCX,HP,L2245wg,HSTND-2371-B,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180066,CNK8470MB5,HP,L2245wg,HSTND-2371-B,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180068,CNK8470XBJ,HP,L2245wg,HSTND-2371-B,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180070,CNK8470WPJ,HP,L2245wg,HSTND-2371-B,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180077,CNK8461BXV,HP,L2245wg,HSTND-2371-B,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180081,CNK8470MQN,HP,L2245wg,HSTND-2371-B,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180083,CNK8470M5C,HP,L2245wg,HSTND-2371-B,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180087,CNK8470X7J,HP,L2245wg,HSTND-2371-B,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180114,CNK8461DST,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180115,CNK92203H6,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180123,CNK8470WV4,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180128,CNK9290L9Y,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180132,CNK8470WX0,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180139,CNK8470MR6,HP,L2245wg,FL472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180149,CNK8470WTW,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180151,CNK8461F7T,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180154,CNK8461DSX,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180166,CNK8470VH5,HP,L2245wg,HSTND-2371-B,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180170,CNK8470MZV,HP,L2245wg,HSTND-2371-B,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180188,CNK8470XXL,HP,L2245wg,HSTND-2371-B,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180193,CNK8470WG5,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180196,CNK8470WNL,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180200,CNK8470XQM,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180246,CNK8470WLH,HP,L2245wg,HSTND-2371-B,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180249,CNK8470X1Q,HP,L2245wg,HSTND-2371-B,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180252,CNK8470WJ1,HP,L2245wg,HSTND-2371-B,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180256,CNK8470XZB,HP,L2245wg,HSTND-2371-B,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1180257,CNK8470WJB,HP,L2245wg,HSTND-2371-B,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1186476,CNK8210CYZ,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1186479,CNK8450GD2,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1186480,CNK8470XR1,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1186492,CNK8461DM1,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1186495,CNK8470Y1C,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1186497,CNK8470XX6,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1186537,CNK8470WNM,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1188154,CNK8470WS2,HP,L2245wg,FLA472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1188158,CNK8461BYF,HP,L2245wg,FLA472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1188161,CNK8461DXG,HP,L2245wg,FLA472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1188236,CNK8470M49,HP,L2245wg,FLA472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1188252,CNK8470XWB,HP,L2245wg,FLA472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1188255,CNK8470X21,HP,L2245wg,FLA472A,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1188760,CNK8470M7C,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1188761,CNK8470WMG,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
Sage - CMH,Monitors,1188763,CNK8470WJV,HP,L2245wg,L2245wg,C,22,,HP-L2245WG-MON-C,70
